stop_id,stop_name,stop_lat,stop_lon,location_type
1472,Bluebonnet @ Park Rowe Ave - S,30.381096,-91.096817,0
1473,Bluebonnet @ Perkins - S,30.379826,-91.097664,0
1474,Perkins Rd @ Hyacinth - W,30.380459,-91.099556,0
1475,Perkins Rd @ L S U Health - W,30.384399,-91.102165,0
1476,Perkins Rd @ Y M C A Southside - W,30.387775,-91.10424,0
1477,Perkins Rd @ Southside Produce - W,30.389751,-91.105469,0
1478,Perkins Rd @ Granada - W,30.391096,-91.106293,0
1479,Perkins Rd @ Roman's Cafe - W,30.393549,-91.10778,0
1480,Perkins Rd @ Essen - W,30.394785,-91.109154,0
1481,Perkins Rd @ Essen Ln Albertsons - W,30.395828,-91.110786,0
1482,Perkins Rd @ Baton Rouge Clinic - W,30.397053,-91.112587,0
1483,Perkins Rd @ One Perkins Pl - W,30.398561,-91.114929,0
1484,Perkins Rd @ Kenilworth - W,30.399651,-91.116409,0
1485,Perkins Rd @ Pennington Center - W,30.403418,-91.121071,0
1486,Perkins Rd @ Quail - W,30.405325,-91.12326,0
1487,Perkins Rd @ Quail Oak Dr - W,30.40766,-91.126266,0
1488,Perkins Rd @ Congress - W,30.413555,-91.13633,0
1489,Perkins Rd @ Glasgow - W,30.414993,-91.139542,0
1490,Perkins Rd @ College/Mc Donald's - W,30.415915,-91.141701,0
1491,Perkins Rd @ College Auto Zone - W,30.417042,-91.144264,0
1492,Perkins Rd @ Balis Dr - W,30.418095,-91.146622,0
1493,Perkins Rd @ Valley - W,30.419163,-91.14856,0
1494,Perkins Rd @ Acadian-Perkins Plaza - W,30.420408,-91.151146,0
1495,S Acadian @ Perkins - N,30.421843,-91.152214,0
1496,S Acadian @ Bawell - N,30.426861,-91.150932,0
1497,S Acadian @ Catholic Life Center - N,30.430798,-91.152641,0
1498,S Acadian @ Broussard - N,30.435984,-91.152588,0
1500,S Acadian @ Government - N,30.443653,-91.153702,0
1501,S Acadian @ Rite Aid - N,30.445087,-91.154701,0
1502,S Acadian @ Wilshire - N,30.446028,-91.154716,0
1503,North Blvd @ Kernan - W,30.448278,-91.155716,0
1504,North Blvd @ Bedford - W,30.448248,-91.157303,0
1505,North Blvd @ Gottlieb - W,30.448168,-91.158958,0
1506,North Blvd @ Eugene - W,30.44813,-91.160332,0
1507,North Blvd @ 26th St - W,30.448051,-91.16185,0
1508,North Blvd @ 24th - W,30.448021,-91.163292,0
1509,North Blvd @ 22nd - N,30.447983,-91.165703,0
